n,fib,runtime
1,1,2.0226449022611e-06
2,1,2.15781874982922e-06
3,2,2.34251955950632e-06
4,3,2.44909540258894e-06
5,5,2.71990287271691e-06
6,8,3.21875307997299e-06
7,13,3.89276435528292e-06
8,21,5.0289169102928e-06
9,34,6.82839702580202e-06
10,55,9.77636948683555e-06
11,89,2.66129402117382e-05
12,144,2.24165163903601e-05
13,233,3.5074581687632e-05
14,377,5.67864549852544e-05
15,610,8.85808963500132e-05
16,987,0.000140637080688483
17,1597,0.000228460467394475
18,2584,0.000386173845991093
19,4181,0.000598450212527082
20,6765,0.000953793291959193
21,10946,0.00153320247217519
22,17711,0.00250071894141884
23,28657,0.00402592408462926
24,46368,0.00646581203323384
25,75025,0.0104140277046525
26,121393,0.0169345823847428
27,196418,0.0279287541711994
28,317811,0.0440558631608106
29,514229,0.0717436382214868
30,832040,0.115238218184687
31,1346269,0.186351962825647
32,2178309,0.30264546116634
33,3524578,0.487822316352569
34,5702887,0.79433424887224
35,9227465,1.27986718093879
