year, anomaly
1.743846153846153811e+03, -1.131000000000000005e+00
1.743923076923076906e+03, nan
1.744076923076923094e+03, nan
1.744153846153846189e+03, nan
1.744230769230769283e+03, nan
1.744307692307692378e+03, 1.925999999999999934e+00
1.744384615384615472e+03, -1.114999999999999991e+00
1.744461538461538566e+03, -2.349999999999999867e-01
1.744538461538461434e+03, -4.299999999999999933e-01
1.744615384615384528e+03, nan
1.744692307692307622e+03, -1.272999999999999909e+00
1.744769230769230717e+03, -2.177000000000000046e+00
1.744846153846153811e+03, -4.590000000000000191e-01
1.744923076923076906e+03, -8.129999999999999449e-01
1.745076923076923094e+03, -1.135999999999999899e+00
1.745153846153846189e+03, -6.929999999999999494e-01
1.745230769230769283e+03, -1.774999999999999911e+00
1.745307692307692378e+03, -6.260000000000000009e-01
1.745384615384615472e+03, nan
1.745461538461538566e+03, nan
1.745538461538461434e+03, nan
1.745615384615384528e+03, nan
1.745692307692307622e+03, nan
1.745769230769230717e+03, nan
1.745846153846153811e+03, nan
1.745923076923076906e+03, nan
1.746076923076923094e+03, nan
1.746153846153846189e+03, nan
1.746230769230769283e+03, nan
1.746307692307692378e+03, nan
1.746384615384615472e+03, nan
1.746461538461538566e+03, nan
1.746538461538461434e+03, nan
1.746615384615384528e+03, nan
1.746692307692307622e+03, nan
1.746769230769230717e+03, nan
1.746846153846153811e+03, nan
1.746923076923076906e+03, nan
1.747076923076923094e+03, nan
1.747153846153846189e+03, nan
1.747230769230769283e+03, nan
1.747307692307692378e+03, nan
1.747384615384615472e+03, nan
1.747461538461538566e+03, nan
1.747538461538461434e+03, nan
1.747615384615384528e+03, nan
1.747692307692307622e+03, nan
1.747769230769230717e+03, nan
1.747846153846153811e+03, nan
1.747923076923076906e+03, nan
1.748076923076923094e+03, nan
1.748153846153846189e+03, nan
1.748230769230769283e+03, nan
1.748307692307692378e+03, nan
1.748384615384615472e+03, nan
1.748461538461538566e+03, nan
1.748538461538461434e+03, nan
1.748615384615384528e+03, nan
1.748692307692307622e+03, nan
1.748769230769230717e+03, nan
1.748846153846153811e+03, nan
